Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,12/01/2019,2.8,0.1,1.3,-3.1,,0.13,0,0,9.9,240.75,,3.7,0,98,Rain
Deutschland,12/02/2019,4.2,1.4,2.7,-2.6,,0.18,0,0,21.8,270.46,,13.9,,92.89,Rain
Deutschland,12/03/2019,5,-1.2,1.8,-4.8,,0.21,0,0,17.8,242.58,,20.8,3.7,96.62,Rain
Deutschland,12/04/2019,5.9,0.6,3.9,-3.1,,0,0,0,19.1,222.25,,21.8,7.9,88.34,Clear
Deutschland,12/05/2019,3.5,-1.8,0.4,-6,,0,0,0,17.5,193.71,,21.2,7.6,87,Clear
Deutschland,12/06/2019,4.5,-0.7,1.6,-5.9,,3.17,0,0,22.5,207.42,,17.3,0,85.8,Rain
Deutschland,12/07/2019,9,4.8,7.3,0.9,,2.37,0,0,28.6,240.92,,36.5,,88.46,Rain
Deutschland,12/08/2019,10.2,7.2,8.5,3.9,,0.62,0,0,25.9,221.17,,41.8,,78.39,Rain
Deutschland,12/09/2019,8.9,5.1,6.9,1.3,,1.35,0,0,22.8,225.29,,39.3,,78.94,Rain
Deutschland,12/10/2019,5,0.7,2.7,-4.2,,0.03,0,0,25,246.83,,26.2,5,86.8,Rain
Deutschland,12/11/2019,3.7,0.5,2.3,-4.4,,0.1,0,0,21.7,175.42,,33.6,0,73.6,Rain
Deutschland,12/12/2019,3.6,0.7,1.9,-3,,1.47,0,0,14.6,190,,13.6,,93.84,Rain
Deutschland,12/13/2019,1.6,-1,0.4,-5.9,,0,0,0,17.4,125.71,,18.7,11.2,90.23,Clear
Deutschland,12/14/2019,4.7,0.8,3,-2.5,,5.48,0,0,24.7,209.33,,23.9,,92.67,Rain
Deutschland,12/15/2019,8.7,2,5.1,-2.3,,2.17,0,0,28.6,213.79,,41.7,6.5,80.23,Rain
Deutschland,12/16/2019,7.8,4,6,0.8,,0,0,0,19.4,183.79,,43.7,,85.98,Clear
Deutschland,12/17/2019,11.1,4.3,8,1.2,,0.04,0,0,22.1,174.92,,37.5,,79.44,Rain
Deutschland,12/18/2019,11,2.7,8,-0.1,,0,0,0,24.2,218.5,,46.2,3,78.21,Clear
Deutschland,12/19/2019,6.1,0.6,3.6,-3.2,,0,0,0,15.6,116.54,,5.5,0,98.22,Clear
Deutschland,12/20/2019,9,2.3,5.7,-0.9,,0.12,0,0,17.1,134.54,,15.6,7.4,93.7,Rain
Deutschland,12/21/2019,8.9,2.3,6.5,-0.7,,3.36,0,0,15.8,197.29,,33.6,0,92.19,Rain
Deutschland,12/22/2019,3.9,-0.3,1.8,-4.3,,0,0,0,13.4,123.63,,10.8,0,98.45,Clear
Deutschland,12/23/2019,7.6,3.8,6.1,1.1,,0.67,0,0,20.4,235,,26,,91.05,Rain
Deutschland,12/24/2019,7.2,4.6,5.7,1.5,,2.02,0,0,18.2,212.21,,28,,88.38,Rain
Deutschland,12/25/2019,5.6,4.4,5,1.3,,0.59,0,0,15.7,293,,17.9,,95.36,Rain
Deutschland,12/26/2019,5.6,3.7,4.4,0.4,,1.46,0,0,17.2,268.71,,25.9,,93.99,Rain
Deutschland,12/27/2019,3.7,0.7,2.6,-2.5,,0.99,0,0,13.3,313.96,,26.5,,93.9,Rain
Deutschland,12/28/2019,1.7,-1.2,0.6,-3.5,,0.01,0,0,11,323.29,,42.1,,81.4,Rain
Deutschland,12/29/2019,1.3,-2.7,-0.8,-6.1,,0,0,0,13.4,180.92,,42.3,0,80.69,Clear
Deutschland,12/30/2019,6.5,0.8,3.9,-2.8,,0,0,0,19.8,210.54,,45.5,0,54.78,Clear
Deutschland,12/31/2019,7.1,3.8,5.4,0,,0,0,0,27.7,276.29,,34.1,0,72.9,Clear
