Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,09/01/2020,18.2,9.3,14.2,8.9,,0,0,0,13.7,50.83,,39.8,0,76.33,Clear
Deutschland,09/02/2020,17.1,10.6,13.9,,,2.42,0,0,13.6,286.08,,36.9,0,84.03,Rain
Deutschland,09/03/2020,21.9,12.1,16.8,,,3.15,0,0,16.7,242.21,,40.2,7.4,71.12,Rain
Deutschland,09/04/2020,21.9,15,17.7,,,5.71,0,0,17.3,229.75,,20,,84.65,Rain
Deutschland,09/05/2020,17.2,13,15.7,,,2.69,0,0,15.1,250.17,,37.8,0,87.73,Rain
Deutschland,09/06/2020,18.4,10.5,14.3,,,0.06,0,0,19.7,257.67,,45.3,8.4,73.55,Rain
Deutschland,09/07/2020,19,10.5,14,,,0.01,0,0,19.1,256.17,,44.9,1.3,74.13,Rain
Deutschland,09/08/2020,21.7,10.6,16,,,0,0,0,23.4,231.04,,47.1,0,69.87,Clear
Deutschland,09/09/2020,24.1,14.4,19.2,,,0,0,0,19.5,234.42,,34.6,4.3,75.99,Clear
Deutschland,09/10/2020,18.4,10.9,14.8,,,1.09,0,0,20.9,279,,40.9,2,73.58,Rain
Deutschland,09/11/2020,21.8,9,15.2,8.3,,0,0,0,11.9,163.67,,44.6,1.5,65.03,Clear
Deutschland,09/12/2020,25.9,9.8,17.4,8.4,,0,0,0,21.7,229.33,,42.4,4,65.56,Clear
Deutschland,09/13/2020,23.8,10.7,17.1,,,0,0,0,16.9,232.08,,44.1,9.8,69.03,Clear
Deutschland,09/14/2020,29.2,12.4,20.5,,28.5,0,0,0,10.1,159.17,,47.6,3.4,63.15,Clear
Deutschland,09/15/2020,30.8,15.1,22.6,,30.2,0,0,0,14.2,130.96,,39.7,2.6,63.49,Clear
Deutschland,09/16/2020,28.8,15.3,21.8,,28.3,0,0,0,18.4,267.5,,33.7,4.5,65.12,Clear
Deutschland,09/17/2020,18.2,8.6,14.5,7.4,,0,0,0,17.9,142.08,,47.3,4.2,61.85,Clear
Deutschland,09/18/2020,19.6,4.3,11.4,2.3,,0,0,0,9.8,71.33,,50,2,63.45,Clear
Deutschland,09/19/2020,20.8,5.2,13,3,,0,0,0,14.1,78.29,,46.7,8.7,58.09,Clear
Deutschland,09/20/2020,23,7.7,14.7,5.8,,0,0,0,14.1,69.25,,48.6,0.8,58.06,Clear
Deutschland,09/21/2020,24.4,7.5,15.5,5.6,,0,0,0,11.2,82.79,,43.2,0,61.75,Clear
Deutschland,09/22/2020,26,9.9,17.5,8.9,,0,0,0,12.8,143.79,,37.5,0.9,64.34,Clear
Deutschland,09/23/2020,25.8,13.8,19.1,,,0,0,0,11.5,223.5,,42.1,5.4,62.44,Clear
Deutschland,09/24/2020,21.2,13.8,17.1,,,0.04,0,0,22,205,,44.2,6.5,63.7,Rain
Deutschland,09/25/2020,15,10.5,12.9,,,11.52,0,0,14.3,232.96,,23.7,13,87.15,Rain
Deutschland,09/26/2020,10.7,9.1,10,6.6,,30.33,0,0,27.5,268.58,,18.3,,92.89,Rain
Deutschland,09/27/2020,11.7,6.8,9.2,5.5,,1.33,0,0,12.3,194.83,,42.5,,88.62,Rain
Deutschland,09/28/2020,17.5,8.7,12.7,6.8,,0.72,0,0,13.3,153.71,,46.4,6.6,76.48,Rain
Deutschland,09/29/2020,17.8,10.8,13.3,,,0.01,0,0,7.9,231.5,,46.1,0,77.43,Rain
Deutschland,09/30/2020,18.7,7.6,12.5,7.5,,0.01,0,0,8.4,182.92,,30.2,3.2,84.06,Rain
Deutschland,09/01/2020,18.2,9.3,14.2,8.9,,0,0,0,13.7,50.83,,39.8,0,76.33,Clear
Deutschland,09/02/2020,17.1,10.6,13.9,,,2.42,0,0,13.6,286.08,,36.9,0,84.03,Rain
Deutschland,09/03/2020,21.9,12.1,16.8,,,3.15,0,0,16.7,242.21,,40.2,7.4,71.12,Rain
Deutschland,09/04/2020,21.9,15,17.7,,,5.71,0,0,17.3,229.75,,20,,84.65,Rain
Deutschland,09/05/2020,17.2,13,15.7,,,2.69,0,0,15.1,250.17,,37.8,0,87.73,Rain
Deutschland,09/06/2020,18.4,10.5,14.3,,,0.06,0,0,19.7,257.67,,45.3,8.4,73.55,Rain
Deutschland,09/07/2020,19,10.5,14,,,0.01,0,0,19.1,256.17,,44.9,1.3,74.13,Rain
Deutschland,09/08/2020,21.7,10.6,16,,,0,0,0,23.4,231.04,,47.1,0,69.87,Clear
Deutschland,09/09/2020,24.1,14.4,19.2,,,0,0,0,19.5,234.42,,34.6,4.3,75.99,Clear
Deutschland,09/10/2020,18.4,10.9,14.8,,,1.09,0,0,20.9,279,,40.9,2,73.58,Rain
Deutschland,09/11/2020,21.8,9,15.2,8.3,,0,0,0,11.9,163.67,,44.6,1.5,65.03,Clear
Deutschland,09/12/2020,25.9,9.8,17.4,8.4,,0,0,0,21.7,229.33,,42.4,4,65.56,Clear
Deutschland,09/13/2020,23.8,10.7,17.1,,,0,0,0,16.9,232.08,,44.1,9.8,69.03,Clear
Deutschland,09/14/2020,29.2,12.4,20.5,,28.5,0,0,0,10.1,159.17,,47.6,3.4,63.15,Clear
Deutschland,09/15/2020,30.8,15.1,22.6,,30.2,0,0,0,14.2,130.96,,39.7,2.6,63.49,Clear
Deutschland,09/16/2020,28.8,15.3,21.8,,28.3,0,0,0,18.4,267.5,,33.7,4.5,65.12,Clear
Deutschland,09/17/2020,18.2,8.6,14.5,7.4,,0,0,0,17.9,142.08,,47.3,4.2,61.85,Clear
Deutschland,09/18/2020,19.6,4.3,11.4,2.3,,0,0,0,9.8,71.33,,50,2,63.45,Clear
Deutschland,09/19/2020,20.8,5.2,13,3,,0,0,0,14.1,78.29,,46.7,8.7,58.09,Clear
Deutschland,09/20/2020,23,7.7,14.7,5.8,,0,0,0,14.1,69.25,,48.6,0.8,58.06,Clear
Deutschland,09/21/2020,24.4,7.5,15.5,5.6,,0,0,0,11.2,82.79,,43.2,0,61.75,Clear
Deutschland,09/22/2020,26,9.9,17.5,8.9,,0,0,0,12.8,143.79,,37.5,0.9,64.34,Clear
Deutschland,09/23/2020,25.8,13.8,19.1,,,0,0,0,11.5,223.5,,42.1,5.4,62.44,Clear
Deutschland,09/24/2020,21.2,13.8,17.1,,,0.04,0,0,22,205,,44.2,6.5,63.7,Rain
Deutschland,09/25/2020,15,10.5,12.9,,,11.52,0,0,14.3,232.96,,23.7,13,87.15,Rain
Deutschland,09/26/2020,10.7,9.1,10,6.6,,30.33,0,0,27.5,268.58,,18.3,,92.89,Rain
Deutschland,09/27/2020,11.7,6.8,9.2,5.5,,1.33,0,0,12.3,194.83,,42.5,,88.62,Rain
Deutschland,09/28/2020,17.5,8.7,12.7,6.8,,0.72,0,0,13.3,153.71,,46.4,6.6,76.48,Rain
Deutschland,09/29/2020,17.8,10.8,13.3,,,0.01,0,0,7.9,231.5,,46.1,0,77.43,Rain
Deutschland,09/30/2020,18.7,7.6,12.5,7.5,,0.01,0,0,8.4,182.92,,30.2,3.2,84.06,Rain
