Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,05/01/2020,16.4,8.9,12.6,7,,1.3,0,0,19.4,213.83,,50,0,67.55,Rain
Deutschland,05/02/2020,13.2,5.9,9.7,3.6,,2.6,0,0,17.8,239.04,,30.4,3.3,81.67,Rain
Deutschland,05/03/2020,13.9,6.2,9.9,3.3,,0,0,0,18.8,273.83,,30.9,6.5,76.68,Clear
Deutschland,05/04/2020,10.9,5.4,8.8,3.4,,2.28,0,0,10.9,277,,25.2,0,84.68,Rain
Deutschland,05/05/2020,10.3,2.4,6.7,-0.5,,1.24,0,0,22.2,303.67,,38.6,5.8,74.96,Rain
Deutschland,05/06/2020,16.1,4.1,10.4,1.6,,0,0,0,22.8,301.83,,47.3,8.5,59.77,Clear
Deutschland,05/07/2020,16.1,6.4,10.5,3.2,,0,0,0,17.8,278.04,,39.7,2.6,65.14,Clear
Deutschland,05/08/2020,20.8,5.9,13.8,5.4,,0,0,0,15.6,239.5,,38.8,13,54.92,Clear
Deutschland,05/09/2020,22.7,7.3,15.6,6.2,,0,0,0,11.6,95.88,,48.9,2.2,47.08,Clear
Deutschland,05/10/2020,23.9,9.9,16.8,8.2,,1.68,0,0,12.6,158.46,,35.7,1.1,63.12,Rain
Deutschland,05/11/2020,15.3,2.7,7.7,-0.3,,8.55,0,0,22.2,308.17,,23.5,6.5,86.44,Rain
Deutschland,05/12/2020,10.7,-0.2,6,-4.3,,0.07,0,0,20.5,259.5,,48.4,2.8,66.96,Rain
Deutschland,05/13/2020,13.6,5.1,9.1,2.8,,0.11,0,0,13.7,177.75,,47.6,13,62.19,Rain
Deutschland,05/14/2020,13.4,5,9,2.8,,0.19,0,0,13.9,218.42,,40.5,5.6,64.11,Rain
Deutschland,05/15/2020,14.3,1.1,8.9,-0.8,,0,0,0,19.3,254.75,,40.9,0,58.45,Clear
Deutschland,05/16/2020,14.8,7.1,11.3,4.7,,0,0,0,21.6,258.54,,48,6,57.09,Clear
Deutschland,05/17/2020,17.8,8.4,13.1,6.6,,0.28,0,0,20.3,268.17,,40.8,7,55.68,Rain
Deutschland,05/18/2020,20.7,10.4,15.5,,,0,0,0,19.9,260.88,,41,6.5,54.47,Clear
Deutschland,05/19/2020,18.3,11.7,14.8,,,0,0,0,21.7,296.67,,40.4,6.5,68.58,Clear
Deutschland,05/20/2020,19.7,9.2,14.4,8.9,,0,0,0,15.2,244.5,,43.2,5.6,57.03,Clear
Deutschland,05/21/2020,20.4,5.8,14,4.5,,0,0,0,10.8,76.63,,45.7,3,53.07,Clear
Deutschland,05/22/2020,21.8,8.7,16.1,7.2,,0.29,0,0,15.3,126.29,,42.8,0,46.49,Rain
Deutschland,05/23/2020,18.8,11.3,14.9,,,3.63,0,0,22.6,230.33,,25.7,,75.71,Rain
Deutschland,05/24/2020,15.4,8.4,11.9,6.6,,6.29,0,0,22.8,257.21,,35.2,3.3,78.38,Rain
Deutschland,05/25/2020,14,10.4,11.7,,,0.91,0,0,21.3,297,,35.9,6.5,82.06,Rain
Deutschland,05/26/2020,20,6.7,13.7,5.4,,0,0,0,12.9,136.38,,26,1.6,69.19,Clear
Deutschland,05/27/2020,21.6,6.7,15.3,5.8,,0.03,0,0,16.4,220,,42.7,0,58.64,Rain
Deutschland,05/28/2020,19.2,10.6,14.8,,,0.13,0,0,21.4,258.96,,42.5,6.9,58.86,Rain
Deutschland,05/29/2020,19.9,6.4,13.8,4.7,,0,0,0,15.2,27.42,,34.5,2.2,56.91,Clear
Deutschland,05/30/2020,17.8,7.3,13.1,6.4,,0,0,0,22.1,18.46,,44,1.4,57.55,Clear
Deutschland,05/31/2020,22,8.5,14.8,6.8,,0,0,0,21.7,149.46,,38.7,1.5,61.06,Clear
Deutschland,05/01/2020,16.4,8.9,12.6,7,,1.3,0,0,19.4,213.83,,50,0,67.55,Rain
Deutschland,05/02/2020,13.2,5.9,9.7,3.6,,2.6,0,0,17.8,239.04,,30.4,3.3,81.67,Rain
Deutschland,05/03/2020,13.9,6.2,9.9,3.3,,0,0,0,18.8,273.83,,30.9,6.5,76.68,Clear
Deutschland,05/04/2020,10.9,5.4,8.8,3.4,,2.28,0,0,10.9,277,,25.2,0,84.68,Rain
Deutschland,05/05/2020,10.3,2.4,6.7,-0.5,,1.24,0,0,22.2,303.67,,38.6,5.8,74.96,Rain
Deutschland,05/06/2020,16.1,4.1,10.4,1.6,,0,0,0,22.8,301.83,,47.3,8.5,59.77,Clear
Deutschland,05/07/2020,16.1,6.4,10.5,3.2,,0,0,0,17.8,278.04,,39.7,2.6,65.14,Clear
Deutschland,05/08/2020,20.8,5.9,13.8,5.4,,0,0,0,15.6,239.5,,38.8,13,54.92,Clear
Deutschland,05/09/2020,22.7,7.3,15.6,6.2,,0,0,0,11.6,95.88,,48.9,2.2,47.08,Clear
Deutschland,05/10/2020,23.9,9.9,16.8,8.2,,1.68,0,0,12.6,158.46,,35.7,1.1,63.12,Rain
Deutschland,05/11/2020,15.3,2.7,7.7,-0.3,,8.55,0,0,22.2,308.17,,23.5,6.5,86.44,Rain
Deutschland,05/12/2020,10.7,-0.2,6,-4.3,,0.07,0,0,20.5,259.5,,48.4,2.8,66.96,Rain
Deutschland,05/13/2020,13.6,5.1,9.1,2.8,,0.11,0,0,13.7,177.75,,47.6,13,62.19,Rain
Deutschland,05/14/2020,13.4,5,9,2.8,,0.19,0,0,13.9,218.42,,40.5,5.6,64.11,Rain
Deutschland,05/15/2020,14.3,1.1,8.9,-0.8,,0,0,0,19.3,254.75,,40.9,0,58.45,Clear
Deutschland,05/16/2020,14.8,7.1,11.3,4.7,,0,0,0,21.6,258.54,,48,6,57.09,Clear
Deutschland,05/17/2020,17.8,8.4,13.1,6.6,,0.28,0,0,20.3,268.17,,40.8,7,55.68,Rain
Deutschland,05/18/2020,20.7,10.4,15.5,,,0,0,0,19.9,260.88,,41,6.5,54.47,Clear
Deutschland,05/19/2020,18.3,11.7,14.8,,,0,0,0,21.7,296.67,,40.4,6.5,68.58,Clear
Deutschland,05/20/2020,19.7,9.2,14.4,8.9,,0,0,0,15.2,244.5,,43.2,5.6,57.03,Clear
Deutschland,05/21/2020,20.4,5.8,14,4.5,,0,0,0,10.8,76.63,,45.7,3,53.07,Clear
Deutschland,05/22/2020,21.8,8.7,16.1,7.2,,0.29,0,0,15.3,126.29,,42.8,0,46.49,Rain
Deutschland,05/23/2020,18.8,11.3,14.9,,,3.63,0,0,22.6,230.33,,25.7,,75.71,Rain
Deutschland,05/24/2020,15.4,8.4,11.9,6.6,,6.29,0,0,22.8,257.21,,35.2,3.3,78.38,Rain
Deutschland,05/25/2020,14,10.4,11.7,,,0.91,0,0,21.3,297,,35.9,6.5,82.06,Rain
Deutschland,05/26/2020,20,6.7,13.7,5.4,,0,0,0,12.9,136.38,,26,1.6,69.19,Clear
Deutschland,05/27/2020,21.6,6.7,15.3,5.8,,0.03,0,0,16.4,220,,42.7,0,58.64,Rain
Deutschland,05/28/2020,19.2,10.6,14.8,,,0.13,0,0,21.4,258.96,,42.5,6.9,58.86,Rain
Deutschland,05/29/2020,19.9,6.4,13.8,4.7,,0,0,0,15.2,27.42,,34.5,2.2,56.91,Clear
Deutschland,05/30/2020,17.8,7.3,13.1,6.4,,0,0,0,22.1,18.46,,44,1.4,57.55,Clear
Deutschland,05/31/2020,22,8.5,14.8,6.8,,0,0,0,21.7,149.46,,38.7,1.5,61.06,Clear
